,rating,reviewContent,clean_reviewContent
10,1,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",tanpa kemas tanpa lindung apa hanya dus televisi saja lihat dus sobek sedikit sudah mulai curiga kayak pecah ini eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual mau untung saja tanpa peduli ada produk kalau tidak ada untung pelit paking ya jangan jual sudah retur mudah mudah barang cepat di kirim lagi d
11,4,pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,pesan sesuai dengan yang di gambar sekarang saya lagi coba moga awet
12,2,Pengiriman tidak sesuai tanggal yang tertera,kirim tidak sesuai tanggal yang tera
13,4,mantap,mantap
14,3,"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",kenapa chargernya tidak lengkap tidak bisa langsung pakai buat charger kita harus nyari dan beli lagi sambung buat chargernya tolong d bantu
15,2,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",cepat sampai kualitas fd kurang bagus file yang di copy sering corrupt
16,1,Palsu,palsu
17,4,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",sampai agak lama tapi puas packing rapi dan pas datang warna biru senang banget juragan hehe top deh moga awet barang
18,5,barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,barang bagus rapi tidak kecewa akan tetapi bagus kalau ada bonus pouch hehhe
19,5,"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke",sudah terima dengan baik packing rapih tetapi isi cuma lebih oke
20,2,ram 8gb atau 4gb?,ram atau
21,3,Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,saya igin pesan tapi packingnya kalau bisa harus rapih dan aman jadi lindung untuk saat ini bintang nanti kalau barang sudah terima dan bagis jadi bintang
22,3,"Saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada..hanya keterangan saja di dusnya bahwa barang ini Original Resmi Indonesia Bergaransi ..dengan diberi nomor telpon Service Centernya.... Memory yang tersedia ternyata juga tidak sampai 2 TB tetapi 1.81 TB  selisih 0.19 TB ...besar banget selisihnya..tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak...tapi tidak begitu masalah...  Eksternal hardisk ini bekerja bagus, cepat dan  Hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan. Sayangnya saat di registrasi ke Official Webnya WD ternyata Identification Numbernya tidak dikenal..tidak valid...alias barang ini bukan asli..alias KW.. Seller responsif sayangnya tidak memberitahu asli tidaknya barang ini. Pengiriman terhitung cepat..dalam 2 hari barang sudah di tangan.. Mudah2an saja barang ini awet wslaupun tdk original",saya kurang yakin produk ini genuine karena hologram pun tidak ada dan kartu garansi pun tidak ada hanya terang saja di dus bahwa ini original resmi indonesia garansi dengan beri nomor telepon servis centernya memory yang sedia nyata juga tidak sampai tb tetapi tb selisih tb besar banget selisih tidak mungkin juga pakai untuk sistem sampai begitu banyak tapi tidak begitu masalah eksternal hardisk ini kerja bagus cepat dan hadiah hardcase cukup bagus untuk lindung ini dari debu dan bentur sayang saat di registrasi ke official webnya wd nyata identification numbernya tidak kenal tidak valid alias ini bukan asli alias kau jual responsif sayang tidak memberitahu asli tidak ini kirim hitung cepat dalam hari sudah di tangan mudah saja ini awet wslaupun tidak original
23,1,"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",belum terima pihak lazada bilang sidah terima cek di jne lhoksukon aceh utara tidak ada ada masalah tigas tidak ramah dan tidak ada solusk mana yang benar email ke cs jne sama cs lazada tidak ada reapon bagaimana nasih saya harga jt
24,2,Barang yg dikirim tidak seperti yang di gambar,yang kirim tidak seperti yang di gambar
25,2,Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,kenapa proses lama apa gagal atau saya harus pesan lagi
26,1,"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",tidak pernah sampai yang hitam yang putih tidak bisa pakai
27,1,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",karena pesan tidak sesuai dengan kirim dari warna saja saya pesan hitam dikirm putih dan tidak bisa pakai di labtop anak saya harus tidah seperti itu yah
28,1,Ga bisa dipakai...,tidak bisa pakai
29,4,Ini tv jg bs jadi monitor pc kan?,ini televisi juga bisa jadi monitor pc kan
30,2,"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",kirim cepat kualitas gambar bagus utama kualitas suara oke dvb t fungsi baik cuma remote ada yang error tombol source tidak fungsi jadi kalau mau ganti ke usb hdmi atau lain mesti pencet tombol fisik di tvnya sudah minta ganti ke jual malah suruh kontak aquanya kata aqua kalau remote rusak dan baru beli bisa minta ganti ke toko ribet deh pingpong
31,1,Saya pesan uang sdah d transfer tapi barng tdk sampai,saya pesan uang sudah d transfer tapi barng tidak sampai
32,3,Bisa di cicil gak,bisa di cicil tidak
33,1,Tidak bisa di kurangi ya biar jadi 1.000000,tidak bisa di kurang ya biar jadi
34,3,Bayar ditempat?,bayar tempat
35,3,Gmana caranya klw mau ikut kredit di lazada...??,cara kalau mau ikut kredit di lazada
36,1,Bisa kiri. Ke kota blitar tidak?!,bisa kiri ke kota blitar tidak
37,2,Klw.di kirim k karawang bisa gak?,kalau di kirim k karawang bisa tidak
38,2,Gambarnya tidak keliatan,gambar tidak lihat
39,5,"Packing rapih dan aman banget barangnya, pengiriman cepat (hari ini order, besok langsung dateng). Pokonya seller recommended, dari segi harga juga bersaing. :) ;) :D",packing rapih dan aman banget barang kirim cepat hari ini order besok langsung datang poko jual recommended dari segi harga juga saing d
40,5,produknya sesuai dgn gambar... puas bgt,produk sesuai dengan gambar puas banget
41,3,"Pengiriman cpt smp.  Produk bagus, sesuai gambar. Trims...",kirim cepat smp produk bagus sesuai gambar trims
42,4,"Saya kira antivirusnya ada kasetnya, eh ternyata cuma dikasih nomor serial disuruh download sendiri. Overall bagus lah, pengiriman cepat cuma 1 hari datang",saya kira antivirusnya ada kaset eh nyata cuma kasih nomor serial suruh download sendiri overall bagus lah kirim cepat cuma hari datang
43,2,"Barang sudah diterima dan pengiriman lumayan cepat, tapi ada 2 hal yg harus penjual perhatikan: 1. di etalase tv dijual dengan bonus free Braket, tapi yang datang cuma tv nya doang braketnya ga ada, 2. ongkir tercantum Rp 200.000 saya kirim sesuai yg tercantum, tp pas di cek di resi yang tercantum oleh ekspedisi Cobra ternyara cuma 75.000. tetep konsumen yang dirugikan. toko ini jadi catatan buat saya kecuali menylesaikannya",sudah terima dan kirim lumayan cepat tapi ada hal yang harus jual perhati di etalase televisi jual dengan bonus free braket tapi yang datang cuma televisi saja braketnya tidak ada ongkir cantum rupiah saya kirim sesuai yang cantum tetapi pas di cek di resi yang cantum oleh ekspedisi cobra ternyara cuma tetap konsumen yang rugi toko ini jadi catat buat saya kecuali menylesaikannya
44,5,"kualitas ori, kapasitas sesuao dengan dekripsinya",kualitas original kapasitas sesuao dengan dekripsinya
45,4,"Suka bgt barangx mulus lus lus and berfungsi dgan baik, thanks Lazada",suka banget barangx mulus lus lus and fungsi dgan baik terimakasih lazada
46,2,Gan saya pesan warna biru kok yang datang warna merah?,juragan saya pesan warna biru kok yang datang warna merah
47,3,"8 hari baru sampai, sistemnya kosong root saja tampil jadi hrs install ulang,, packingan rapi dan tersegel",hari baru sampai sistem kosong root saja tampil jadi harus install ulang packingan rapi dan segel
48,2,Barang yg di kirim tidak sesuai dengan yang di tampilkan,yang di kirim tidak sesuai dengan yang di tampil
49,4,"Terlambat satu hari, karena kurir sampai dikantor pada malam hari. Jd besoknya baru bisa saya terima. Tp barang saya terima dengan baik. Terima kasih",lambat satu hari karena kurir sampai kantor pada malam hari jadi besok baru bisa saya terima tetapi saya terima dengan baik terima kasih
50,2,Cukup memuaskan,cukup muas
51,4,Sip,sip
52,4,barang diantar dengan cepat dan sesuai dengan penjelasan yang ada. penjual merespondengan cepat.,antar dengan cepat dan sesuai dengan jelas yang ada jual merespondengan cepat
53,1,tidak sesuai gambar,tidak sesuai gambar
54,2,Kualitas barangny bisa di jamin g ya,kualitas barangny bisa di jamin tidak ya
55,3,lumayan,lumayan
56,1,"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",sudah hampir minggu belum juga sampai order tanggal april status pesan masih saja dalam proses lazada
57,1,Karna tidak bisa nyimpan film dan data,karena tidak bisa nyimpan film dan data
58,4,"Yah lumayan lah,tapi saya ketemu ram 16gb ddr4 pake rx460 i7 6700hq malah 9 jutaan",yah lumayan lah tapi saya ketemu ram ddr pakai rx hq malah juta
59,2,.,
60,2,"Tertera di depan masih ada stok, setelah di klik beli terjadi kesalahan. Mohon diperbaiki",tera di depan masih ada stok telah di klik beli jadi salah mohon baik
61,5,Semoga memuaskan,moga muas
62,3,ini memori nya brp gb ya tolong di jawab,ini memori berapa ya tolong di jawab
63,2,Bisa bayar ditempat?,bisa bayar tempat
64,3,Ini Widows apa ya?,ini widows apa ya
65,1,Flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni,flashdisk cepat rusak cuma bisa nyimpan beberapa film saja bagaimana
66,3,Laptop nya sudah saya terima dan packing nya bagus tanpa sedikit cacat.ThanksLazada,laptop sudah saya terima dan packing bagus tanpa sedikit cacat thankslazada
67,4,halo mau tanya.  barang garansi lenovo resmi?,halo mau tanya garansi lenovo resmi
68,1,kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,kenapa pesan saya mostnya tidak kasih saya rasa rugi
69,1,Mau tanya bagaimana pesanan saya .. notifikasi di akun barang sudah sampai tapi hari ini saya belom terima padahal pengirimannya pake gojek tolong di cek kembali ...,mau tanya bagaimana pesan saya notifikasi di akun sudah sampai tapi hari ini saya bom terima padahal kirim pakai gojek tolong di cek kembali
70,4,barang sudah smpe gan.. thanks yaa...,sudah sampai juragan terimakasih yaa
71,3,Barang hari ini pesen di anternya juga hari ini tapi mana ??  Di tunggu 24jam gak ad !@ Saya pesan dan tf tgl 2 jam 7 pagi  Tolong dong. Gojek nya juga susah di hubungi,hari ini pesan di anter juga hari ini tapi mana di tunggu jam tidak ada saya pesan dan tf tanggal jam pagi tolong dong gojek juga susah di hubung
72,3,harus yg asli,harus yang asli
73,4,Apakah ada port audio vidio output dan input? Makasih,apakah ada port audio video output dan input terimakasih
74,4,Kalo cara bayarnya buat cicilan gimana yaa gan??,kalau cara bayar buat cicil bagaimana yaa juragan
75,2,Cara mencicilnya gmna?klw gak ad kartu kredit,cara cicil bagaimana kalau tidak ada kartu kredit
76,1,Kalo cicilan syarat y ap saja...,kalau cicil syarat y ap saja
77,4,yang asli,yang asli
78,5,nice,nice
79,5,Barang bagus. Dilihat nyamping tdak jelas.,bagus lihat nyamping tidak jelas
80,3,kira kira brp lama nyampe k tempat saya kak..kalo terjadi masalah pada pengiriman gimana semacam rusak or pecah,kira kira berapa lama sampai k tempat saya kak kalau jadi masalah pada kirim bagaimana macam rusak or pecah
81,5,"Barang bagus,pasang hdd 500gb aman.beneran 3.0 penhgirimannya aja agak lama soalnya ddari luar negeri",bagus pasang hdd aman beneran penhgirimannya saja agak lama soal ddari luar negeri
82,1,Barang bagus namun Saya kurang keroscek Sebelum memesan ternyata itu bukan hardist cuman hanya Chasing doang itu kesalahan saya... makasih,bagus namun saya kurang keroscek belum mes nyata itu bukan hardist cuma hanya chasing saja itu salah saya terimakasih
83,3,"hanya salah faham dan saya ingin mengembalikannya itu saja,tapi  bagus sih casingnya cuman saya mau harddisk bukan casing",hanya salah faham dan saya ingin kembali itu saja tapi bagus sih casingnya cuma saya mau harddisk bukan casing
84,1,kesingdoang,kesingdoang
85,2,3tb harga segituu ????,tb harga segituu
86,4,dicoba langsung josss...,coba langsung josss
87,1,Atas nama jaya Fajarot,atas nama jaya fajarot
88,2,Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,tempat hardisk pc apa bukan takut saya jadi beli tidak muat untk ukur hardisk pc juragan mohon jelas
89,1,ini kata nya external HD kenapa saya hanya terima kotak kosong saja..,ini kata external hd kenapa saya hanya terima kotak kosong saja
90,2,"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",clickbait banget ya judul sudah beli lagi nyata cuma casing untung kasih kabel usb
91,3,Ini Chasenya Doank Ya,ini chasenya saja ya
92,3,USB nya sudah bisa putar video belum,usb sudah bisa putar video belum
93,2,Apakah windows-nya original?,apakah windows original
94,3,Dikirim pake gojek jakarta bisa ga.,kirim pakai gojek jakarta bisa tidak
95,1,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,dagang ini tipu bilang usb tau yang datang usb harga mahal lagi
96,3,"Barang mulus, paking rapi, pengiriman cepat, namun tidak muat sama hardisk punya saya, ketebalan nya beda 2mm. Jadi ga muat, terlalu slim",mulus paking rapi kirim cepat namun tidak muat sama hardisk punya saya tebal beda mm jadi tidak muat terlalu slim
97,3,"Barang dateng dengan cepat, pembungkus juga kokoh dan rapih tetapi pas di liat cass ny bnyak yg lecet",datang dengan cepat bungkus juga kokoh dan rapih tetapi pas di lihat cass ny bnyak yang lecet
98,4,Mantapppp barang datang lebih cepatttttt,mantapppp datang lebih cepatttttt
99,4,Barang bagus dan berfungsi baik,bagus dan fungsi baik
100,4,Packing safety dari benturan. Pengiriman lumayan cepat. Kelengkapan full deskripsi. Cuma sedikit kecewa sama kabelnya agak cepat panas kalau pake bawaan. Tapi jika di ganti kabel yang lain adem normal. Kenapa ya???,packing safety dari bentur kirim lumayan cepat lengkap full deskripsi cuma sedikit kecewa sama kabel agak cepat panas kalau pakai bawa tapi jika di ganti kabel yang lain adem normal kenapa ya
101,2,Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,nyata dapat kabel baru sampai belum di tes nanti moga bisa tnx
102,3,apakah sudah tersedia arduino untuk menghubungkan ke harddisk.?,apakah sudah sedia arduino untuk hubung ke harddisk
103,3,"Windows asli, dapet tas laptop, ram gede, cuman Microsoft office harus donwload sendiri atau pakai polaris, desain bagus warna biru tua, pengiriman cepat, packingsangat rapi masih tersegel. Thanx Lazada",windows asli dapet tas laptop ram besar cuma microsoft office harus donwload sendiri atau pakai polaris desain bagus warna biru tua kirim cepat packingsangat rapi masih segel terimakasih lazada
104,2,Barang nya kira kira bagus g y semoga pas datang nanti bagus,kira kira bagus tidak y moga pas datang nanti bagus
105,4,(+) Pengepakan rapih (+) Barang Legit (masih tersegel dengan segel seagate dan terdapat warranty file di dalam storagenya) (+) Sesuai deskripsi (-) Pengiriman agak lama (tidak diketahui penyebabnya dari lazada atau sellernya),epak rapih legit masih segel dengan segel seagate dan dapat warranty file di dalam storagenya sesuai deskripsi kirim agak lama tidak tahu sebab dari lazada atau sellernya
106,2,cara klaim garansi gimana y?,cara klaim garansi bagaimana y
107,3,"Pengiriman tepat waktu, Packing rapi, bonus case+pena, produk original, tersegel, compatible dg Win.10, transfer data cepat, produk bisa didaftarkan langsung secara online. Kartu garansi tidak ada. Mohon arahan untuk klaim garansi diLuar Jawa.",kirim tepat waktu packing rapi bonus case pena produk original segel compatible dengan menang transfer data cepat produk bisa daftar langsung cara online kartu garansi tidak ada mohon arah untuk klaim garansi luar jawa
108,4,"Barang sudah dteriam, akan tetapi kabel data tidak bisa di gunakan, mohon di bantu supaya bisas di tukar  (hanya kabelnya saja).tks",sudah dteriam akan tetapi kabel data tidak bisa di guna mohon di bantu supaya bisas di tukar hanya kabel saja terimakasih
109,3,"Permisi, kapan barang penggantinya bisa dikirim? Terima Kasih",permisi kapan ganti bisa kirim terima kasih
110,4,"Not bad lah, buat simpan film naruto sama boruto+drakor",not bad lah buat simpan film naruto sama boruto drakor
111,4,BARANG SUDAH SAMPAI DAN SEJAUH INI TIDAK ADA MASALAH. TERIMA KASIH,sudah sampai dan jauh ini tidak ada masalah terima kasih
112,1,"Penjualnya kasih garansi berapa bulan nih, bisanya Asus 24 bulan tp ini kok cuman 1 tahun,...jadi ragu mau beli",jual kasih garansi berapa bulan nih bisa asus bulan tetapi ini kok cuma tahun jadi ragu mau beli
113,4,Gan ini baterai tanam gk?,juragan ini baterai tanam tidak
114,2,Masih ada gak ini....,masih ada tidak ini
115,2,"produk bagus dan original, namun pengiriman lama benget kurang lebih 1 bulan, baru sampai",produk bagus dan original namun kirim lama benget kurang lebih bulan baru sampai
116,5,"respon sellernya cpt, pengirimannya jg cpt, barang ori",respon sellernya cepat kirim juga cepat original
117,4,brgnya sesuai gambar.. pelayanan tokonya jg memuaskan dan welcome,brgnya sesuai gambar layan toko juga muas dan welcome
118,4,barang bagus,bagus
119,4,"oke, sesuai.. tp blm sempet digunakan dan blm tau kapasitas dlm nya..",oke sesuai tetapi belum sempet guna dan belum tau kapasitas dalam
120,3,"kualitas barang bagus, sesuai dengan specifikasi dalam katalog di Lazada",kualitas bagus sesuai dengan specifikasi dalam katalog di lazada
121,4,"Pengiriman cepat 2 sdh terima, barangnya ok berfungsi dengan baik, cuman antivirus hanya untuk 6 bulan, dan harus download dulu.",kirim cepat sudah terima barang fungsi dengan baik cuma antivirus hanya untuk bulan dan harus download dulu
122,5,udah 2 tahun masih oke.. thx..,sudah tahun masih oke terimakasih
123,4,Ini gan nomor pesanannya mohon di cek ya 3121198272,ini juragan nomor pesan mohon di cek ya
124,3,Dear admin Kl kasperskynya dalam bentuk cd atau software biasa?  Apakah kaspersky premium? Atau freeware?,dear admin kl kasperskynya dalam bentuk cd atau software biasa apakah kaspersky premium atau freeware
125,4,bagus,bagus
126,1,Barang bagus tp anti virusnya kok di ganti stiker......,bagus tetapi anti virus kok di ganti stiker
127,4,"barang sesuai dengan perkiraan, cuma bonus yang ada tidak sesuai dengan yang tertera, kagoll",sesuai dengan kira cuma bonus yang ada tidak sesuai dengan yang tera kagoll
128,5,barang sampai dengan aman dan asli sayang bonusnya udah ga bisa dipakai,sampai dengan aman dan asli sayang bonus sudah tidak bisa pakai
129,2,Antivirus nya ga bisa di claim,antivirus tidak bisa di claim
130,4,Shipping oke. Cepat & rapi. Barang sesuai ekspektasi. Mantab jiwaaaa....,shipping oke cepat rapi sesuai ekspektasi mantap jiwaaaa
131,2,Bisa windows 7?.,bisa windows
132,4,"Barang bagus, packing bagus, cepat sampai, dan berfungsi dg baik. Kekurangannya, stl proses pendaftaran utk antivirusnya sll failed. Sdh diminta menghubungi vendornya, cm masih blm diurus bener krn libur lebaran.",bagus packing bagus cepat sampai dan fungsi dengan baik kurang stl proses daftar untuk antivirusnya sll gagal sudah minta hubung vendor cm masih belum urus bener karena libur lebaran
133,3,"Saya memakai HP Spectre dimana tidak ada USB C, kemudian saya membeli sekaligus 3 series Baseus yang dapat mengconvert dr USB C ke USB 3.1, masalah timbul karena Hardisk ini tidak compatible sehingga selalu error terditeksi, dimana hanya kadang2 dapat terditeksi. Saya mempunyai 4 WD Passport, 2bh, 1TB dan 1bh,  1.5 TB, semuanya compatible, hanya yang 4 TB susah connectmya, apabila saya memakai computer destop/ notebook lainnya dapat connect dengan mudah, jadi WD tidak masalah, tanya ke WD Service center tidak ada yang menjawab.",saya pakai hp spectre mana tidak ada usb c kemudian saya beli sekaligus series baseus yang dapat mengconvert dari usb c ke usb masalah timbul karena hardisk ini tidak compatible sehingga selalu error teks mana hanya kadang dapat teks saya punya wd passport bh tb dan bh tb semua compatible hanya yang tb susah connectmya apabila saya pakai computer destop notebook lain dapat connect dengan mudah jadi wd tidak masalah tanya ke wd servis center tidak ada yang jawab
134,3,Kenapa di laptop Macbook Pro Retina saya ngga bisa dibuka ya?,kenapa di laptop macbook pro retina saya tidak bisa buka ya
135,3,"Sangat puas, barang bagus paketan bagus, kurir ramah. Lain kali mw belanja lagi di sini",sangat puas bagus paket bagus kurir ramah lain kali mau belanja lagi di sini
136,1,"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim...",masa go jek sudah kesana tutup terus toko order tanggal mei sampai dengan detik ini belum kirim
137,5,barangnya sasuai dengan gambat,barang sasuai dengan gambat
138,4,belum di coba. packing rapi.,belum di coba packing rapi
139,2,"Barangnya Ok, pengirimannya lama buanget capek nunggunya",barang kirim lama banget capek nunggunya
140,4,lumayan sih,lumayan sih
141,4,bagus sekali,bagus sekali
142,5,"barang sampai dengan selamat, produk original.. cuman proses pengiriman agak lama..",sampai dengan selamat produk original cuma proses kirim agak lama
143,5,Berfungsi baik,fungsi baik
144,5,semoga awet. pengiriman hanya dimasukkan amplop tanpa buble.,moga awet kirim hanya masuk amplop tanpa buble
145,5,good seller,good jual
146,4,packing ok.kurir ok. baru 5 menit dipake dah panas bgt.,packing kurir baru menit pakai sudah panas banget
147,2,barangnya kecil banget..kirain seperti gambar gede,barang kecil banget kirain seperti gambar besar
148,4,Mohon info siapa yang menerima barang saya ?,mohon informasi siapa yang terima saya
149,5,Good,good
150,4,"barang suda saya terima sesuai dengan prediksi pengiriman, barang sesuai dengan iklannya, cuman saya tidak tahu kalau casenya aga gede untuk hardisk external, tapi ga apa"" hadia botol minumnya bagus terimakasi lazada & yang punya lapak.",suda saya terima sesuai dengan prediksi kirim sesuai dengan iklan cuma saya tidak tahu kalau casenya aga besar untuk hardisk external tapi tidak apa hadia botol minum bagus terimakasi lazada yang punya lapak
151,4,"barang bagus, tapi resletingnya agak rusak, mau kembaliin tapi ribet, ya udahlah, bonusnya bagus , dapat botol keren, lain kali mohon cek lagi barangnya kl sdh mau dikirim,",bagus tapi resletingnya agak rusak mau kembaliin tapi ribet ya udahlah bonus bagus dapat botol keren lain kali mohon cek lagi barang kl sudah mau kirim
152,3,Barang oke,oke
153,1,Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!,telah nunggu proses kirim lambat minggu tau batal sedia tidak ada promonya tidak jelas
154,4,"Barang oke, packaging rapi, dan pengiriman cepat. Beli HDD ini pas lagi Harbolnas (11 Des). Kirain bakalan nyampe lama. Ternyata tgl 14 udah nyampe. Makasih JVP & Lazada",oke packaging rapi dan kirim cepat beli hdd ini pas lagi harbolnas des kirain bakal sampai lama nyata tanggal sudah sampai terimakasih jvp lazada
155,1,Bagus gak ?,bagus tidak
156,3,bagus.. cuma sayang cleanernya gak sesuai gambar dimana disitu ada kuasnya... sedangkan kenyataanya dapat cotton buds.. tapi secara keseluruhan bagus. trims...ulasan ditolak,bagus cuma sayang cleanernya tidak sesuai gambar mana situ ada kuas sedang kenyataanya dapat cotton buds tapi cara seluruh bagus trims ulas tolak
157,4,bagus.. cuma sayang cleanernya gak sesuai gambar dimana disitu ada kuasnya... sedangkan kenyataanya dapat cotton buds sama kain majun kecil.. tapi secara keseluruhan bagus. trims,bagus cuma sayang cleanernya tidak sesuai gambar mana situ ada kuas sedang kenyataanya dapat cotton buds sama kain majun kecil tapi cara seluruh bagus trims
158,4,paket udah dtng dan berfungsi dg baik trmksh lazada,paket sudah dtng dan fungsi dengan baik trmksh lazada
159,3,pengiriman ok.packaging ok kurir ok tapiiiiii koq isinya cuma 57.19GB......bintang 3 aja dech,kirim packaging kurir tapiiiiii koq isi cuma bintang saja dech
160,4,barang sudah diterima dengan packing yg rapi dan fungsi berjalan normal,sudah terima dengan packing yang rapi dan fungsi jalan normal
161,3,Barang ready gan?,ready juragan
162,5,"packing bagus, rapih dan pengiriman cepat, recommended seller",packing bagus rapih dan kirim cepat recommended jual
163,1,barang sudah keterima tapi ga bisa ke detect di komputer.. mohon solusi buat pengembalian barang karena dalam paket gak ada kertas buat pengembalian barang,sudah terima tapi tidak bisa ke detect di komputer mohon solusi buat kembali karena dalam paket tidak ada kertas buat kembali
164,4,pengiriman harap dipercepat,kirim harap cepat
165,5,terima kasih lazada..semoga awet..,terima kasih lazada moga awet
166,5,"barang bagus, utk simpan data cepat dan mudah tanpa hambatan..👍",bagus untuk simpan data cepat dan mudah tanpa hambat
167,3,"Bagus barangnya , tapi ga sesuai kapasitas . Pas ditester hanya dapat 14gb saja .",bagus barang tapi tidak sesuai kapasitas pas tester hanya dapat saja
168,5,sudah dipakai. mantap,sudah pakai mantap
169,5,Barang berkualitas baik,kualitas baik
170,3,baik,baik
171,5,"plashdisk sesuai dengan gambar dan ORIGINAL ada hologram ASTRINDO GENUINE PRODUCT, estimasi pengiriman cepat satu hari pesan hari jum'at datang hari senin pukul 11.20 karena hari sabtu-minggu libur pengiriman saya paham, belum saya coba mudah-mudahan awet dan kapasitas sesuai 32 GB, makasih LAZADA terima kasih k1m1",plashdisk sesuai dengan gambar dan original ada hologram astrindo genuine produk estimasi kirim cepat satu hari pesan hari jum at datang hari senin pukul karena hari sabtu minggu libur kirim saya paham belum saya coba mudah mudah awet dan kapasitas sesuai terimakasih lazada terima kasih kamu
